StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q16,Q2,Q15,Q162,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q22,Q4,Q19,Q20,Q23,Q24,Q25,Q26
45228.49097,45228.49375,0,83.135.243.60,100,232,1,45228.49375,R_3LcmU4I9XELwqNA,,,,,50.7479,6.0485,anonymous,DE,1,25,1,1,4,5,5,5,4,5,3,2,3,1,2,3,2,3,,2,,
45257.55764,45257.56042,0,185.152.147.212,100,241,1,45257.56042,R_2tD7YQoJKKpGZ7C,,,,,53.752,9.6622,anonymous,DE,1,18,2,1,5,5,5,4,5,5,5,5,5,3,2,1,3,3,,1,,
45221.92778,45221.93125,0,93.229.107.11,100,298,1,45221.93125,R_2XpQUVRaOThPKoj,,,,,48.172,11.5907,anonymous,DE,1,25,2,1,4,3,3,3,2,4,5,4,4,3,2,1,2,4,,2,"Als ich gefragt hatte, ob er auch eine Aktivit«œt in M«¨nchen kennen w«¨rde, hat er mir eine Aktivit«œt in Kiel vorgeschlagen.",
45257.58472,45257.68125,0,89.56.251.204,100,8329,1,45257.68125,R_6VBRWQ4V1p1cN1L,,,,,53.8884,9.4826,anonymous,DE,1,51,2,1,2,4,1,2,4,3,2,3,2,1,3,,,,"Auf er Suche nach Heavy Metal Konzerten wurde mir etwas «?hnliches genannt. Die Frage nach den Kosten konnte nicht beantwortet werden. Ich hatte den Eindruck, dass der Chatbot nicht wusste, wovon ich rede, obwohl ich den Konzertnamen aus seiner eigenen Antwort «¨bernommen hatte. Bei der Nachfrage nach einem konkreten Zeitraum gab es mehrere Ergebnisse, die nicht zum Zeitraum passten.",2,S.o. Falscher Zeitraum und Nichterkennen eines konkreten Konzerts.,
45222.13819,45222.14028,0,77.20.253.135,100,160,1,45222.14028,R_1dgkz8OlJ7L5PEA,,,,,53.5582,9.9532,anonymous,DE,1,18,1,1,4,5,4,4,4,5,5,5,5,5,2,2,2,3,,1,,
45239.56667,45239.56875,0,93.230.27.120,100,167,1,45239.56875,R_2uWntdhDv9O9IYo,,,,,53.5791,9.9942,anonymous,DE,1,26,1,2,4,5,4,4,3,4,3,4,4,4,2,4,3,3,,1,,
45254.37639,45254.37847,0,109.42.114.153,100,186,1,45254.37847,R_0DLosWZ0ZLUC4UN,,,,,52.3664,9.7214,anonymous,DE,1,19,2,1,3,5,5,5,3,4,5,5,4,4,2,4,2,5,,1,,
45228.80347,45228.80417,0,91.32.116.66,100,95,1,45228.80417,R_0N8f4w6qB0snYpX,,,,,51.5103,7.4637,anonymous,DE,1,21,2,1,4,5,5,5,3,5,4,2,4,2,2,5,4,3,,1,,
45228.44653,45228.45,0,46.223.2.237,100,298,1,45228.45,R_5db9PDBKcSX4vG9,,,,,48.8849,8.6984,anonymous,DE,1,23,1,1,4,3,2,4,4,5,3,4,4,4,2,5,5,4,,1,,Antowrten von chatbot manchmal etwas un«¨bersichtlich und lang. Es w«œre besser es w«¨rden an manchen stellen Abs«œrtze inbder Antowort eingef«¨hrt.
45245.95278,45245.95486,0,113.30.183.128,100,188,1,45245.95486,R_bgCLyVGlcBHlVId,,,,,53.752,9.6622,anonymous,DE,1,19,1,1,5,3,4,5,4,4,5,4,2,3,2,5,3,2,,2,"Das System war sehr stark «¨berlastet, sodass ich nur ganz langsam antworten bekommen habe.",
45228.54583,45228.54722,0,134.130.182.125,100,127,1,45228.54722,R_YX2i8jvOPKkZ6NP,,,,,50.7479,6.0485,anonymous,DE,1,19,1,1,2,4,1,2,2,3,1,2,2,1,3,,,,Suche nach einem Technokonzerte und Infos diesbez«¨glich,2,"Habe nach weiteren Infos zu dem Konzert gefragt, hat er nicht verstanden und danach behauptet, dass es das Konzert nicht g«œbe",
45228.55278,45228.55486,0,95.91.251.81,100,190,1,45228.55486,R_AcfPv4rBwyttT69,,,,,48.1077,11.6091,anonymous,DE,1,25,1,1,5,5,3,2,4,4,5,5,4,5,2,0.5,2,4,,2,"Chatbot ist nicht auf meine vorangegangen Fragen und Aussagen nicht eingegangen. Hab ein zweites Event am selben Tag gesucht, das hat das Programm leider nicht verstanden",
45245.73611,45245.73819,0,104.28.64.10,100,137,1,45245.73819,R_1eE27Y8QnYHzXKC,,,,,53.5544,9.9946,anonymous,DE,1,27,1,1,1,5,3,2,1,4,3,3,2,3,3,,,,Veranstaltungen in einem bestimmten Zeitraum zu finden,2,Veranstaltungen in einem konkreten Zeitfenster zu finden,
45228.67847,45228.68264,0,93.104.2.245,100,332,1,45228.68264,R_2diHj1AyXaXTR9N,,,,,48.1836,11.5754,anonymous,DE,1,25,2,1,5,5,5,4,5,5,5,5,4,4,2,3,2,4,,1,,
45228.61597,45228.61736,0,80.187.74.127,100,109,1,45228.61736,R_2tFgUVpiTBvL56U,,,,,51.4579,6.8931,anonymous,DE,1,26,1,1,4,5,4,4,4,4,4,5,5,4,2,10,5,3,,1,,
45208.47986,45208.48333,0,95.223.44.9,100,259,1,45208.48333,R_tKaSlcGAe6sgWiZ,,,,,50.7599,6.0953,anonymous,DE,1,27,1,1,4,5,5,5,5,4,3,4,4,4,2,2,2,4,,2,,
45228.67431,45228.90417,0,77.182.63.136,100,19826,1,45228.90417,R_1Qi3U0V0VnyheNW,,,,,49.9065,8.5939,anonymous,DE,1,21,2,1,4,5,3,4,4,3,4,4,2,2,3,,,,Raves und Studenten Hotspots finden ,1,,"Deutlich zu langsam, aber insgesamt cooles Projekt "
45228.49653,45228.64931,0,82.113.99.196,100,13210,1,45228.64931,R_czIJdVYqXDrAmUF,,,,,51.2993,9.491,anonymous,DE,1,28,1,1,5,5,5,5,5,5,5,5,4,5,2,1,2,4,,1,,
45254.84722,45254.84931,0,46.22.157.9,100,188,1,45254.84931,R_2Eym7w9CSwCNSoP,,,,,53.7567,9.6426,anonymous,DE,1,18,2,1,4,4,5,4,4,5,5,5,5,3,2,1,2,3,,2,,
45246.91667,45246.92153,0,84.172.249.232,100,387,1,45246.92153,R_tRmAqafXXQORSa5,,,,,48.6821,9.0117,anonymous,DE,1,55,1,1,4,5,3,4,2,3,4,4,5,3,3,,,,Die Frage mit ge«œnderten Parametern wiederholen ohne die vollst«œndige Frage neu zu formulieren ,1,,Fragen solltff er n anpassbar werden. Bei unklaren Fragen sollten R«¨ckfragen gestellt und deren Antwort zu einer pr«œziseren Aussage des BotÉ??s f«¨hren.
45245.85903,45245.86181,0,89.56.173.78,100,208,1,45245.86181,R_W8S7FjRQ83bfbah,,,,,53.9679,9.6046,anonymous,DE,1,18,2,1,5,4,5,5,5,5,5,5,4,5,2,5,3,4,,1,,"Ich denke der server m«¨sste noch ausgebaut werden, damit viele ihn gleichzeitig benutzen k«Ùnnen. Da gabs vorhin probleme. Ich finde die Idee dahinter dennoch sehr gut.–??ç–?è¨"
45231.47083,45231.48681,0,87.182.225.186,100,1337,1,45231.48681,R_BK7Zi2EKoBCxmH7,,,,,48.4668,11.9476,anonymous,DE,1,22,1,1,5,4,4,3,4,3,5,5,4,4,2,2,5,4,,1,,
45228.68194,45228.68472,0,80.187.81.155,100,213,1,45228.68472,R_3HN3nd28NgZMzTZ,,,,,48.1336,11.5658,anonymous,DE,1,27,1,1,5,4,5,4,5,5,5,5,4,4,2,1,2,3,,1,,Ich wollte direkt nach Parties suchen. Habe dann aber erst verstanden dass ich zuerst Empfehlungen ausw«œhlen muss. Vielleicht direkt die Eingabe erm«Ùglichen. Zumindest das man es absenden kann was man geschrieben hat. Dachte erst es funktioniert nicht. 
45253.54028,45253.54514,0,89.204.154.146,100,390,1,45253.54514,R_1jJ19V0FEysWZC9,,,,,51.2993,9.491,anonymous,DE,1,18,1,1,4,5,3,5,4,5,5,4,5,4,2,3,1.5,3,,2,Ob,
45228.73194,45228.73333,0,87.164.190.44,100,139,1,45228.73333,R_2ciHleiUZ1K0vSQ,,,,,49.4174,11.8867,anonymous,DE,1,23,1,1,2,5,3,3,5,5,2,2,1,3,3,,,,Er hat keine Events gefunden und auch keine Alternativen vorgeschlagen,1,,"Sehr coole Idee! Ich denke, dass vor allem die Quellen f«¨r die Events mehr werden m«¨ssen"
45230.94653,45230.94792,0,80.187.83.160,100,134,1,45230.94792,R_1BQkl5ZqFsdH9kA,,,,,48.1417,11.5644,anonymous,DE,1,23,2,1,4,5,4,4,5,4,4,3,4,4,2,3,2,5,,1,,
45256.92361,45256.92639,0,91.11.217.19,100,262,1,45256.92639,R_3fPOssATHFYd4AZ,,,,,53.7229,9.7681,anonymous,DE,1,37,1,1,5,4,4,4,4,4,3,1,3,1,2,2,2,2,,2,"Er schlug eine Kletterhalle vor, ich fragte nach, wo denn eine sei, und dann hat er eine Fehlermeldung ausgegeben.",
45228.89583,45228.89722,0,172.226.33.35,100,160,1,45228.89722,R_2TObwI6GWGStbLa,,,,,39.9528,-75.1646,anonymous,DE,1,26,1,1,5,5,5,5,5,5,5,5,5,5,2,2,0,4,,1,,Super duper umfrage
45245.45833,45245.46042,0,62.93.3.160,100,192,1,45245.46042,R_A7qzhjCBUb4mum5,,,,,53.9187,9.8786,anonymous,DE,1,69,1,2,5,4,5,5,4,5,5,5,5,5,2,6,2,4,,1,,
45229.09792,45229.10208,0,84.115.223.10,100,361,1,45229.10208,R_1doihXHq7FptaEM,,,,,48.217,16.3944,anonymous,DE,1,24,1,1,2,3,3,3,1,4,3,3,2,2,3,,,,"Messen in Kiel. Er konnte Rockkonzerte nennen, jedoch bei nur einer Nachfrage konnte er keine infos liefern (Frage war, ob es mir nur deutsche bands anzeigen kann) ",2,"nach Messen in Kiel und M«¨nchen gefragt, angeblich keine einzige Antwort bekommen... ","Ich w«¨rde als Start message einen Hinweis geben, wie der prompt zu formulieren ist"
45255.43611,45255.43819,0,213.55.225.121,100,221,1,45255.43819,R_2Pwj73D6ZbRxczf,,,,,47.3682,8.5671,anonymous,DE,1,28,1,1,4,4,4,5,5,3,4,4,3,5,2,5,4,3,,2,,"é¯nstead of giving just the existing opportunities, it might recommend some future events, of course with a remark"
45260.37153,45260.37431,0,213.160.62.46,100,218,1,45260.37431,R_3GkUDemdGKBea3F,,,,,47.3141,8.6839,anonymous,DE,1,25,2,1,5,5,5,5,5,5,5,5,5,4,2,1,2,5,,1,,
45229.70139,45229.70625,0,88.65.74.135,100,377,1,45229.70625,R_2s7nbgFs7auy8pk,,,,,51.9302,7.6413,anonymous,DE,1,29,1,1,4,4,5,3,4,4,4,4,4,3,2,2,3,3,,1,,"Es k«Ùnnte noch klarer gehighlighted werden, ob es sich um eine Veranstaltung mit direken Ticketoptionen oder um eine allgemeine Auskunft zu einem Club handelt. Ich habe eine sehr weit gefasste Suche gestartet, nach EDM Clubs und Comedy Events. Das hat zu vielen Vorschl«œgen gef«¨hrt, die ziemlich un«¨bersichtlich in einem unendlichen Bandwurmsatz aufgelistet wurden. Suchergebnisse k«Ùnnten also gerne noch sch«Ùner in Textform dargstellt werden. "
45247.70139,45247.70417,0,80.131.220.100,100,250,1,45247.70417,R_bsDHRXJqyPXijAZ,,,,,53.7522,9.6838,anonymous,DE,1,19,2,1,2,3,3,1,4,2,3,2,5,2,2,10,3,2,,1,the system was overloaded and he have haf problems to answer me properly,"overall, the idea is fantastic but the system is quite problematic. with such problems to even get one answer other people wonÉ??t recomment this app. one has to file on details and reconstruct partners/ the system."
45249.81806,45249.81944,0,37.5.241.154,100,158,1,45249.81944,R_1rOe3fnUXn2cJCP,,,,,53.5514,10.0593,anonymous,DE,1,21,2,1,5,2,5,5,5,5,5,4,3,1,2,1,2,3,,1,,
45257.49097,45257.49236,0,62.93.3.160,100,121,1,45257.49236,R_1GwDWV6rI53BuRe,,,,,53.9187,9.8786,anonymous,DE,1,19,2,1,3,4,4,3,4,4,5,2,4,1,2,2,4,4,,2,,
45231.47361,45231.47708,0,95.91.251.60,100,295,1,45231.47708,R_22xLizfLgzPzDLy,,,,,48.1077,11.6091,anonymous,DE,1,26,2,1,5,3,5,4,4,5,5,4,4,3,2,4,1,4,,1,,
45253.81458,45253.81667,0,89.56.140.8,100,153,1,45253.81667,R_2aS0tWJK1V4WEnq,,,,,53.9565,9.5888,anonymous,DE,1,36,2,1,5,4,3,4,4,4,4,4,4,2,2,2,1,4,,1,,
45234.53889,45234.54028,0,95.91.251.179,100,154,1,45234.54028,R_3nl5bJwARbLX2uB,,,,,48.1336,11.5658,anonymous,DE,1,27,1,1,4,4,4,4,4,4,4,5,4,4,2,5,3,4,,1,,
45250.39653,45250.39861,0,91.4.102.230,100,128,1,45250.39861,R_2EhQTd6zdN2J1Uh,,,,,48.0945,7.9589,anonymous,DE,1,38,1,1,5,5,4,5,4,4,5,4,4,4,2,3,2,4,,1,,
45234.825,45234.82986,0,46.114.171.198,100,422,1,45234.82986,R_2Wwij8HqXUOZF1z,,,,,53.5456,9.9615,anonymous,DE,1,26,1,1,4,5,4,4,4,4,4,4,4,5,2,3,2,4,,1,,
45229.64931,45229.65069,0,77.20.255.193,47,112,0,45236.65069,R_10oBikpqtWN8TFG,,,,,,,anonymous,DE,1,45,1,1,4,4,2,2,2,2,2,2,2,2,3,,,,,2,,
45238.75417,45238.76111,0,80.187.74.236,100,581,1,45238.76111,R_UGfqQAepHiiXOa5,,,,,51.2178,7.137,anonymous,DE,1,22,1,1,5,5,5,5,5,5,5,5,5,5,2,5,8,4,,1,,Top App
45257.50486,45257.50764,0,62.93.3.160,100,204,1,45257.50764,R_ZlfLI9hG2Ju8XNT,,,,,53.9187,9.8786,anonymous,DE,1,18,2,1,2,4,4,4,3,5,5,4,5,4,2,4,2,3,,2,,
45240.00139,45240.00764,0,217.94.60.57,100,546,1,45240.00833,R_6tHoHyrPZDCI3Dz,,,,,54.3241,10.1344,anonymous,DE,1,26,1,1,3,5,4,3,4,4,3,3,3,2,3,,,,Spezielle Sportangebote finden,1,,Coole Idee. Vermutlich reichte das Wissen der Datenbank nicht um alle meine Fragen zu beantworten.
45228.44722,45228.45069,0,194.230.148.15,100,301,1,45228.45069,R_u8PnQpUjaabIzkd,,,,,47.3857,8.5348,anonymous,DE,1,23,2,1,4,5,5,5,4,4,3,4,4,5,2,3,2,3,,2,,
45254.36597,45254.36944,0,62.93.3.160,100,316,1,45254.36944,R_OiC1UhoDpjyK5P3,,,,,53.9187,9.8786,anonymous,DE,1,18,1,1,4,3,4,4,3,5,5,4,4,3,3,,,,Musik Genre vom empfohlenen K«¨nstler spezifizieren,1,,
45244.90208,45244.90417,0,91.12.147.165,100,212,1,45244.90417,R_1NFjm5QD3qauOc9,,,,,54.4232,13.4302,anonymous,DE,1,51,2,2,5,5,5,5,5,4,5,5,5,5,2,2,3,5,,1,,
45247.34236,45250.51042,0,80.187.83.148,100,273683,1,45250.51042,R_2ayoej1epXONGp1,,,,,48.1363,11.5357,anonymous,DE,1,56,1,2,5,4,5,5,5,5,3,3,5,4,2,10,3,4,,1,,
45254.85833,45254.86042,0,80.131.220.100,100,167,1,45254.86042,R_3jfcjshDNrDMlrd,,,,,53.7522,9.6838,anonymous,DE,1,20,2,1,4,3,4,2,5,3,4,3,4,3,2,3,2,4,,2,,
45244.98125,45244.98681,0,217.235.191.67,100,507,1,45244.98681,R_a4V1MEl90DJamBj,,,,,51.5368,9.8921,anonymous,DE,1,35,1,2,4,5,4,4,3,4,5,5,5,5,2,4,2,4,,1,,
45245.67083,45245.67361,0,89.56.201.146,100,276,1,45245.67361,R_2yeCy4XCbDCd11C,,,,,53.9003,10.3035,anonymous,DE,1,25,1,1,1,4,5,5,3,4,5,5,5,4,2,3,2,4,,2,,the servers are quite slow
45245.36042,45245.36736,0,84.165.166.52,100,584,1,45245.36736,R_2OZksqnSbkWFtAV,,,,,50.7153,12.4628,anonymous,DE,1,59,1,1,1,2,1,2,5,4,2,2,1,5,3,,,,Suche nach uboot ergab kein Ergebnis bei allgemeinervempehlun wurde uboot angeboten ?!?! Nahe Begriffe wie Marine ne schiffsmuseum sind nicht verkn«¨pft aus bot Antwort generierte weitere Infos mit den angebotenen begriffen werden nicht beantwortet,2,Frage nach uboot keine antwort,«?hnliche Begriffe venetzen
45257.49444,45257.49792,0,62.93.3.160,100,305,1,45257.49792,R_3JmgZp4ey2am3AT,,,,,53.9187,9.8786,anonymous,DE,1,28,2,2,2,5,5,4,3,2,4,2,3,1,2,2,3,4,,2,"Bei der Anfrage nach Handball Veranstaltungen, kam die R«¨ckmeldung, dass die KI dazu keine passenden Infos gefunden hat. In der Auswahl der Alternativen war eine vereinzelte Handball Veranstaltung zu sehen. Bei der manuellen Suche waren weitere Handball Veranstaltungen zu finden",
45245.45764,45245.45972,0,62.93.3.160,100,177,1,45245.45972,R_enfm4T2x532J5GF,,,,,53.9187,9.8786,anonymous,DE,1,18,1,1,4,5,3,4,2,1,4,5,1,1,2,5,3,3,,2,das Programm ist bei einer weiterf«¨hrenden anfrage abgest«¨rzt,Ich finde die App ist gut gelungen. Nur sollte das gebiet noch ausgeweitet werden und genauer auf anfragen eingehen
45247.51111,45247.51319,0,62.93.3.160,100,143,1,45247.51319,R_1ptnaycvmMsYBYy,,,,,53.9187,9.8786,anonymous,DE,1,23,1,1,4,5,5,5,4,5,5,5,4,4,2,2,2,5,,1,,
45222.37083,45222.37222,0,37.201.153.18,100,130,1,45222.37222,R_10Vji54j7BPMsdw,,,,,50.9318,6.9312,anonymous,DE,1,24,1,1,5,4,5,5,5,5,5,5,4,4,2,2,2,5,,2,,
45262.59931,45262.60278,0,109.42.115.64,100,300,1,45262.60278,R_3iR7DQoKeI92iLy,,,,,52.3851,9.7431,anonymous,DE,1,27,2,2,5,5,5,4,4,5,5,5,5,3,2,0.5,1,4,,2,,"Ggf. k«Ùnnte man die gefunden Events «¨bersichtlicher darstellen. Es k«Ùnnte sich ein neues Fenster «Ùffnen mit den Events nacheinander gelistet. AI dauert ein paar Sekunden, aber vollkommen in Ordnung. Allgemein eine sehr gute Idee, die sich auf jeden Fall auf weitere St«œdte ausweiten k«Ùnnte."
45228.575,45228.57778,0,188.61.32.177,100,227,1,45228.57778,R_udMnFXkkP3Ix49H,,,,,47.3387,8.802,anonymous,DE,1,25,2,1,3,4,2,4,4,3,4,4,4,2,3,,,,location changes,2,,
45258.86736,45258.86944,0,104.28.64.12,100,170,1,45258.86944,R_DixJNh0ii8orpZL,,,,,53.5544,9.9946,anonymous,DE,1,37,1,1,4,4,5,4,5,5,5,5,4,4,2,2,2,4,,1,,Spannender Ansatz
45255.43611,45255.44028,0,213.55.225.201,100,364,1,45255.44028,R_3jVh1Ueht0Uoqdc,,,,,47.3857,8.5348,anonymous,DE,1,28,2,1,2,4,3,4,2,2,2,2,2,2,3,,,,I asked about upcoming concerts and I guess due to an error a blank box appeared ,1,"I said I liked concerts, but the recommended activities did not include any concerts. Then I asked whether there is any upcoming concerts. Then a blank box appeared. That happened twice",
45250.85139,45250.85347,0,46.114.202.65,100,183,1,45250.85347,R_29olU7KdbOMN57H,,,,,51.3001,12.3382,anonymous,DE,1,45,1,1,5,5,5,5,5,5,5,5,5,3,2,1,2,4,,1,,Ich mag die App. Bitte in ganz Deutschland ausrollen.
45243.67083,45243.67639,0,213.55.221.170,100,460,1,45243.67639,R_1eCUrKfc8loiKmK,,,,,46.5267,6.6243,anonymous,DE,1,26,1,1,2,4,4,5,3,2,2,2,2,1,3,,,,I was looking for a specific concert in the genre jazz. I refined my search since some church music (one might argue gospel is classified as jazz in mainstream) and non-specific events were in there. Further refinement should have probably led to the conclusion that no such concert or only sinilar solojazz or trios etc are playing but instead the proposed events where very dfifferent in style just fewer options. Personally I thing some keywords provided in the prompt were oberweighted.,2,,Push on :)
45254.54861,45254.55278,0,109.42.114.61,100,388,1,45254.55278,R_1M4IzKVwmFiioJT,,,,,53.5544,9.996,anonymous,DE,1,21,2,1,4,3,5,4,4,3,5,2,5,3,2,5,3,4,,1,,ich habe einige Aktivit«œten vorher noch gar nicht gekannt!
45228.81458,45228.81597,0,188.154.13.164,100,127,1,45228.81597,R_1KkvVAye8qd7Qx9,,,,,47.3821,8.5728,anonymous,DE,1,26,1,1,4,5,5,4,4,4,4,3,4,2,2,2,2,4,,2,,
45259.92847,45259.93542,0,104.28.54.47,100,581,1,45259.93542,R_1GVQ8WAzPXk2GyL,,,,,50.1188,8.6843,anonymous,DE,1,27,1,1,4,4,2,4,4,5,4,5,4,3,2,2,3,3,,2,"Kleinigkeiten: - 1, 2 Mal keine entsprechende Reaktion auf Absicht, - Einmal gro«?er grauer Blank Screen statt Antwort auf meine Frage, - teils lange Wartezeiten",Coole Sache!
45229.5875,45229.59028,0,89.204.137.55,100,245,1,45229.59028,R_2yqhA5BFpUevjP2,,,,,52.4923,13.3589,anonymous,DE,1,58,2,2,5,5,5,5,5,5,5,5,5,5,2,2,2,5,,2,,
45260.69722,45260.69792,0,94.31.99.124,100,73,1,45260.69792,R_33lFdPrUAee2xKF,,,,,51.2558,9.4066,anonymous,DE,1,29,2,1,5,5,5,5,5,5,5,5,5,5,2,1,1,5,,1,,
45260.86319,45260.86736,0,77.8.57.208,100,336,1,45260.86736,R_32YiyRccKjxcGWa,,,,,53.5791,9.9942,anonymous,DE,1,25,2,1,5,5,5,5,4,5,4,4,5,4,2,1,2,4,,1,,"Sehr gew«œhlte Ausdrucksweise, je nach Zielgruppe evtl nochmal anpassen, h«œtte mich jetzt nicht zu 100% angesprochen. Sonst sehr gut."
45208.47431,45208.47778,0,95.223.44.9,100,257,1,45208.47778,R_BQGU4vnVMW29dhn,,,,,50.7599,6.0953,anonymous,DE,1,27,1,1,4,5,4,3,4,2,4,4,3,3,2,2,5,4,,2,,
45220.47778,45220.47986,0,80.144.214.4,100,183,1,45220.47986,R_3LjdoGgT9Xlr86m,,,,,48.1716,11.5236,anonymous,DE,1,26,1,1,5,4,4,5,5,4,5,5,4,2,2,2,3,4,,1,Switched to German answers randomly ,
45229.35347,45229.35486,0,178.10.138.180,100,133,1,45229.35486,R_1I495aafrh6x9Sb,,,,,48.1716,11.5236,anonymous,DE,1,24,2,1,5,5,5,5,5,4,5,5,5,4,2,2,1,5,,1,,
45232.89583,45232.89722,0,91.3.152.73,100,132,1,45232.89722,R_2D6nG6GFz73OhIy,,,,,54.3034,10.1596,anonymous,DE,1,23,2,2,5,5,5,5,5,4,5,4,5,4,2,2,1,4,,1,,
